project name,builder name,location,address,price range,status,property types,total units,total towers,possession date,rera number,features,amenities
"Sunrise Gardens","ABC Builders & Developers","Andheri West, Mumbai","123, Sunrise Avenue, Andheri West, Mumbai","INR 4,500,000 - 14,000,000","ready-to-move","apartment|penthouse",450,4,"2024-12-31","RERA-2024-MH-12345","Vaastu Compliant|Power Backup|Lift|Parking|Rain Water Harvesting","Swimming Pool|Gymnasium|Club House"
"Green Valley Estate","ABC Builders & Developers","Powai, Mumbai","456, Green Valley Road, Powai, Mumbai","INR 8,500,000 - 28,000,000","under-construction","apartment|villa",600,6,"2026-06-30","RERA-2024-MH-67890","Power Backup|Lift|Parking|Rain Water Harvesting|Solar Panel","Swimming Pool|Gymnasium|Club House|Jogging Track"
"Royal Oaks","Pinnacle Infra","Gurgaon Sector 56, Delhi NCR","789, Sector 56, Gurgaon, Delhi NCR","INR 15,000,000 - 30,000,000","new-launch","apartment|penthouse",320,3,"2027-12-31","RERA-2024-DL-45678","Vaastu Compliant|Power Backup|Lift|Parking|Rain Water Harvesting|Solar Panel","Swimming Pool|Gymnasium|Club House|Landscaped Garden|Indoor Games"
"Silver Springs","Skyline Constructions","Whitefield, Bangalore","234, Whitefield Main Road, Bangalore","INR 3,500,000 - 7,200,000","new-launch","apartment",280,2,"2027-03-31","RERA-2024-KA-98765","Power Backup|Lift|Parking|Rain Water Harvesting","Gymnasium|Children's Play Area|Landscaped Garden"
"Lake View Towers","Pinnacle Infra","Hinjewadi, Pune","567, Hinjewadi Lake Road, Pune","INR 6,500,000 - 12,000,000","ready-to-move","apartment",350,3,"2024-03-15","RERA-2024-MH-54321","Power Backup|Lift|Parking|Rain Water Harvesting","Swimming Pool|Gymnasium|Jogging Track|24/7 Security"
"Urban Horizons","Metro Developments","HITEC City, Hyderabad","890, HITEC City Main Road, Hyderabad","INR 2,500,000 - 9,500,000","under-construction","apartment|studio",380,3,"2026-09-30","RERA-2024-TS-13579","Smart Home|Power Backup|Lift|Parking|Solar Panel","Gymnasium|Club House|Indoor Games|24/7 Security"
"Ocean Breeze Residency","ABC Builders & Developers","Besant Nagar, Chennai","101, Beach Road, Besant Nagar, Chennai","INR 12,000,000 - 25,000,000","ready-to-move","apartment|penthouse",150,2,"2023-12-31","RERA-2023-TN-11223","Sea View|Power Backup|Lift|Parking","Swimming Pool|Gymnasium|Club House"
"Pinnacle Corporate Park","Pinnacle Infra","Koramangala, Bangalore","789, 1st Main, Koramangala, Bangalore","INR 8,000,000 - 100,000,000","under-construction","office-space|retail-space",100,1,"2025-12-31","RERA-2024-KA-55667","Grade A Building|Power Backup|Lift|Parking|Centralized AC","24/7 Security|Conference Room|Food Court"
"The Boulevard","Pinnacle Infra","Noida Sector 18, Delhi NCR","Plot 18, Sector 18, Noida","INR 9,000,000 - 45,000,000","ready-to-move","retail-space|food-court",120,1,"2024-01-01","RERA-2022-UP-12121","High Street Retail|Ample Parking|Power Backup","24/7 Security|Food Court"
"Serene Villas","Skyline Constructions","Kharadi, Pune","123, Villa Lane, Kharadi, Pune","INR 35,000,000 - 65,000,000","new-launch","villa",50,0,"2028-12-31","RERA-2024-MH-99887","Private Garden|Private Pool|Gated Community|Vaastu Compliant","Swimming Pool|Club House|Landscaped Garden"
