S.No,Developer,Project Name,Location (Sector / Area),Project Type,Status,RERA No.,Area (Acres),Towers,Units,Configuration,Unit Size Range,Price Range (approx.),Possession / Completion,Key Amenities / Features,Notes
1,Nirala India,Nirala Greenshire Phase I,"Sector 18, Greater Noida",Residential,Completed,,,,,,,,,,
2,Nirala India,Nirala Aspire Phase I,"Sector 16, Greater Noida West",Residential,Completed,,,,176,,,,,Completed phase; new phases since launched,
3,Nirala India,Nirala Aspire Phase II,"Sector 16, Greater Noida West",Residential,Ongoing,,,,950,,,,,,
4,Nirala India,Nirala Grand,"Sector 1, Greater Noida West",Residential,Ongoing,,10.5,,,2/3/4 BHK,,,,"Vastu-compliant; Central Brahmasthal with Banyan Tree; Grand Clubhouse, gym, indoor games; 35+ amenities",Launched ~Dec 2025
5,Nirala India,Nirala Estate (Phases 2-5),"Techzone-IV, Greater Noida West",Residential,Ongoing,,25,21,3600,2/3 BHK,,"From ~₹13,000/sq ft (2BHK ~₹1.29-1.31 Cr, 3BHK ~₹2.49 Cr)",Ph.1 delivered 2017; Ph.2 May 2025; Ph.3&4 Dec 2026; Ph.5 Nov 2027,"45,000 sq ft clubhouse; 18% open green space; lift ratio ~1:48-1:72",
6,Nirala India,Nirala Gateway,"Sector 12, Greater Noida West",Residential,Ongoing,,,,,,,,,,
7,Nirala India,Nirala Greenshire Phase II,"Sector 2, Noida Extension",Residential,Upcoming,,,,,2/3/4 BHK,,,,Connected to Greater Noida West Link Road,
8,Nirala World,Nirala Trio,"Sector 2, Greater Noida West",Residential,Ongoing,,,,,3 BHK (ultra-luxury),,,~Oct 2026 (approx.),Central Green/park; 2.5 km from GNW Link Road,Developed under Nirala World brand
9,Nirala World,Nirala World (flagship residential),Greater Noida West,Residential,Ongoing,,,,,2/3/4 BHK,,,,,
10,Nirala World,"Nirala World Commercial, Sector 12","Sector 12, Noida Extension",Commercial,Upcoming,,,,,"Retail, office space",,,,On Noida-Greater Noida Expressway,
11,Unibera,Unibera Towers,"Sector 1, Greater Noida",Residential (+ commercial block),Completed,UPRERAPRJ2537,4.44,5-7,711,2/3/4 BHK + Other,635-1475 sq ft,₹27.90L-48.00L (also cited up to ₹92.41L),Possession offered Nov 2019 (launched Aug 2016),"Gym, power backup, badminton/basketball court, swimming pool, skating rink; 75% open space",21 floors; loans via ICICI Bank & PNB
